Candidato;Tweet;Fecha;# Retweets;# Likes;Ubicación (usuario);Ubicación (tweet)
Andrés Arauz;Carlos Rabascall: “Nosotros no salvamos bancos, nosotros salvamos vidas” en Ecuador #ArauzRabascall #UnaSolaVuelta… https://t.co/7gFfppvdax;Sat Jan 30 22:18:22 +0000 2021;0;0;Pichincha, Ecuador;
Andrés Arauz;RT @chiguijaecuador: @EstebanMeloG @pichinchauniver @radiolacalle @cerolatitud_ec @majestadradioec @notiecuadoradio @ecuainm_oficial @eluni…;Sat Jan 30 22:18:32 +0000 2021;1;0;Azuay, Ecuador;
Andrés Arauz;RT @maferegas: El candidato a la Presidencia del Ecuador, #AndrésArauz se ha quedado sin palabras para responder a la revelación de Semana…;Sat Jan 30 22:19:14 +0000 2021;6;4;Azuay, Ecuador;
Andrés Arauz;RT @ecuadorenvivo: Consejero del #CNE pide suspensión de derechos políticos de #AndrésArauz por supuesta realización de pruebas de #coronav…;Sat Jan 30 22:19:18 +0000 2021;20;38;Azuay, Ecuador;
Andrés Arauz;"RT @GabuPsychic: Compañeros estamos a 8 días de RECUPERAR LA PATRIA 🇪🇨
#ArauzPresidente 🧡
#VotaTodoUno ☝️ la de Correa 😉";Sat Jan 30 22:19:25 +0000 2021;12;25;Azuay, Ecuador;
Andrés Arauz;RT @maferegas: El candidato a la Presidencia del Ecuador, #AndrésArauz se ha quedado sin palabras para responder a la revelación de Semana…;Sat Jan 30 22:19:42 +0000 2021;7;4;Azuay, Ecuador;
Andrés Arauz;RT @MagdaRoblesL: #AndrésArauz: Le tomaremos la palabra a la propuesta del candidato banquero y nos comprometemos a que todo trabajador…;Sat Jan 30 22:19:55 +0000 2021;272;513;Azuay, Ecuador;
Andrés Arauz;Frenar la discriminación de las mujeres será una tarea constante en Ecuador – #ArauzRabascall #ArauzPresidente… https://t.co/aRRM5FcZUP;Sat Jan 30 22:20:01 +0000 2021;0;0;Azuay, Ecuador;
Andrés Arauz;"RT @lahoraecuador: #Elecciones2021 
Revista Semana tuvo acceso a documentos del #ELN, tras la muerte de uno de los líderes, donde se revela…";Sat Jan 30 22:20:08 +0000 2021;120;131;Azuay, Ecuador;
Andrés Arauz;"RT @lahoraecuador: #Elecciones2021 
Revista Semana tuvo acceso a documentos del #ELN, tras la muerte de uno de los líderes, donde se revela…";Sat Jan 30 22:20:09 +0000 2021;121;131;;
Andrés Arauz;"RT @lahoraecuador: #Elecciones2021 
Revista Semana tuvo acceso a documentos del #ELN, tras la muerte de uno de los líderes, donde se revela…";Sat Jan 30 22:20:10 +0000 2021;122;131;Guayas, Ecuador;
